,,,,,,,
Link:,,,,,,,
Person to contact:,,,,,,,
Comment: ,,,,,,,
Category,sub-category,Metric,possible values,assessment method,assessment,justification,source
,,Development community,c/l/m/h,"For a propriatery, closed system, the assessement should be ""closed"" (c). For an open system, assessement is based on amount of activities in the development community (daily/weekly updates: high, monthly/quaterly updates: medium, less: low)",,,
Trust,Content,Authentication,y/n,A system is assessed as possessing the feature (y) if it includes an authentication mechanism for users.,,,
,,Gate keeping,y/n,A system is assessed as possessing the feature (y) if it provides a review functionality during submission by data stewards or other permitted organizational users. ,,,
,,Review feature,y/n,A system is assessed as possessing the feature (y) if it includes a functionality for writing reviews to specific research artefacts. ,,,
,Content support,Indicator,n/s/a,A system is assessed as possessing the feature (s) if it records usage statistics and (a) if it provides advanced research indicators like h-Index or AltMetrics.,,,
,,Long term preservation,date,This metric is assessed based on the date of the oldest available research artefact on the system or an instance of the system,,,
,System,Open Source software and libraries,y/n,A system is assessed as possessing the feature (y) if the underlying system is open source. ,,,
,,Uptake,h/m/l,A system is assessed as having high uptake (h) if it is used by a thousands of active users each month.,,,
,GDPR,System backup,y/n,A system is assessed as possessing the feature (y) if it includes automated backups in a constant time interval.,,,
,,Right of information,y/n,A system is assessed as possessing the feature (y) if it provides a function to get all data about one user. ,,,
,,Data deletion,y/n,A system is assessed as possessing the feature (y) if it provides a function to delete all data about one user. ,,,
,,Agreement per data management process,y/n,"A system is assessed as possessing the feature (y) if it allows the user to opt-in, agreeing to single personal data management processes individually.",,,
,,Portable and secure data exchange format,y/n,"A system is assessed as possessing the feature (y) if it provides all personal data in an open standard format (e.g. HTML, TXT, PDF)",,,
,,Protection against data leaks,y/n,A system is assessed as possessing the feature (y) if it includes security tests for personal data. ,,,
